2024-10-17 21:35:58,929 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 2, delta value: 15 done
2024-10-17 21:35:59,067 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 6, delta value: 15 done
2024-10-17 21:35:59,085 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 42, delta value: 15 done
2024-10-17 21:35:59,132 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 2, delta value: 10 done
2024-10-17 21:35:59,147 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 43, delta value: 15 done
2024-10-17 21:35:59,157 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 3, delta value: 20 done
2024-10-17 21:35:59,176 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 43, delta value: 10 done
2024-10-17 21:35:59,216 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 6, delta value: 10 done
2024-10-17 21:35:59,263 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 6, delta value: 20 done
2024-10-17 21:35:59,309 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 2, delta value: 20 done
2024-10-17 21:35:59,316 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 43, delta value: 20 done
2024-10-17 21:35:59,364 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 3, delta value: 10 done
2024-10-17 21:35:59,371 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 42, delta value: 20 done
2024-10-17 21:35:59,374 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 3, delta value: 15 done
2024-10-17 21:35:59,486 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 17, delta value: 20 done
2024-10-17 21:35:59,494 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 42, delta value: 10 done
2024-10-17 21:35:59,532 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 17, delta value: 15 done
2024-10-17 21:35:59,543 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 17, delta value: 10 done
2024-10-17 21:35:59,567 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 8, delta value: 10 done
2024-10-17 21:35:59,752 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 31, delta value: 15 done
2024-10-17 21:35:59,823 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 31, delta value: 10 done
2024-10-17 21:35:59,860 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 31, delta value: 20 done
2024-10-17 21:35:59,908 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 8, delta value: 15 done
2024-10-17 21:35:59,948 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 8, delta value: 20 done
2024-10-17 21:36:00,024 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 28, delta value: 10 done
2024-10-17 21:36:00,024 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 5, delta value: 10 done
2024-10-17 21:36:00,086 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 15, delta value: 20 done
2024-10-17 21:36:00,106 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 28, delta value: 15 done
2024-10-17 21:36:00,113 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 5, delta value: 20 done
2024-10-17 21:36:00,151 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 28, delta value: 20 done
2024-10-17 21:36:00,157 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 15, delta value: 15 done
2024-10-17 21:36:00,166 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 5, delta value: 15 done
